1,09
0,050x16 0,36
0,050x20 0,40
0,071x8 0,36
0,071x10 0,39
0,071x12 0,41
0,071x16 0,47
0,071x20 0,50
0,071x27 0,58
0,071x32 0,62
0,071x35 0,66
0,071x50 0,81
0,071x60 0,90
0,071x80 1,01
0,071x120 1,18 
0,071x160 1,48
0,071x250 1,83
0,071x615 2,96
0,071x1075 3,76
0,100x9 0,49
0,100x12 0,54
0,100x14 0,60
0,100x16 0,63
0,100x19 0,66
0,100x21 0,70
0,100x24 0,74
0,100x28 0,80
0,100x32 0,85
0,100x35 0,89
0,100x49 1,10
0,100x70 1,28
0,100x84 1,40
0,100x105 1,55
0,100x119 1,63
0,100x147 1,82
0,100x175 2,14
0,200x7 0,74
0,200x9 0,88
0,200x12 1,00
0,200x49 2,08
