1,09
0,050 0,14
0,060 0,15
0,063 0,16
0,070 0,16
0,071 0,16
0,080 0,16
0,090 0,18
0,100 0,19
0,112 0,2
0,120 0,21
0,125 0,215
0,130 0,22
0,140 0,23
0,150 0,24
0,160 0,25
0,170 0,26
0,180 0,27
0,190 0,28
0,200 0,3
0,210 0,31
0,224 0,32
0,236 0,33
0,250 0,35
0,265 0,36
0,280 0,39
0,300 0,41
0,315 0,43
0,335 0,45
0,355 0,47
0,380 0,5
0,400 0,52
0,425 0,53
0,450 0,57
0,475 0,6
0,500 0,62
0,530 0,66
0,560 0,68
0,600 0,72
0,630 0,75
0,670 0,8
0,710 0,82
0,750 0,87
0,800 0,95
0,850 1,0
0,900 1,05
0,930 1,08
0,950 1,1
1,000 1,16
1,060 1,21
1,080 1,24
1,120 1,28
1,180 1,34
1,250 1,41
1,320 1,47
1,400 1,56
1,450 1,61
1,500 1,68
1,560 1,74
