1,09
0,05 0,110
0,06 0,120
0,07 0,130
0,08 0,140
0,09 0,150
0,10 0,165
0,11 0,175
0,12 0,185
0,13 0,195
0,14 0,205
0,15 0,215
0,16 0,225
0,17 0,235
0,18 0,245
0,19 0,255
0,20 0,280
0,21 0,290
0,23 0,310
0,25 0,330
0,27 0,355
0,29 0,375
0,31 0,400
0,33 0,420
0,35 0,440
0,38 0,470
0,41 0,505
0,44 0,535
0,47 0,565
0,49 0,585
0,51 0,610
0,55 0,650
0,59 0,690
0,64 0,740
0,69 0,790
0,74 0,850
0,80 0,910
0,86 0,970
0,93 1,040
1,00 1,120
1,08 1,200
1,16 1,280
1,20 1,320
1,25 1,370
